Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,18.44,18.57,18.29,18.33,2047300,17.23
2009-12-30,18.50,18.54,18.24,18.41,1995500,17.30
2009-12-29,18.95,18.97,18.56,18.60,2054900,17.48
2009-12-28,18.99,19.03,18.78,18.86,1180000,17.73
2009-12-24,18.80,18.99,18.80,18.95,621800,17.81
2009-12-23,18.87,18.87,18.37,18.73,2762200,17.60
2009-12-22,18.60,18.89,18.55,18.74,2931400,17.61
2009-12-21,18.24,18.80,18.21,18.62,2935600,17.50
2009-12-18,18.18,18.34,18.01,18.21,4131200,17.12
2009-12-17,18.16,18.39,18.04,18.07,2683200,16.98
2009-12-16,18.52,18.79,18.27,18.31,3444600,17.21
2009-12-15,18.51,18.64,18.25,18.33,2166600,17.23
2009-12-14,18.08,18.71,18.08,18.70,4404600,17.58
2009-12-11,18.08,18.28,18.07,18.15,2187500,17.06
2009-12-10,17.95,18.16,17.88,18.12,3227700,16.94
2009-12-09,17.78,17.91,17.60,17.86,1682600,16.69
2009-12-08,17.93,17.97,17.67,17.74,2388300,16.58
2009-12-07,18.22,18.35,17.96,18.07,3242800,16.89
2009-12-04,18.36,18.60,17.90,18.21,3812800,17.02
2009-12-03,18.55,18.71,18.02,18.09,4388400,16.91
2009-12-02,18.28,18.44,17.96,18.41,2838000,17.21
2009-12-01,18.53,18.63,17.99,18.15,2871700,16.97
2009-11-30,17.79,18.34,17.51,18.31,4813900,17.12
2009-11-27,17.72,17.96,17.53,17.70,1619300,16.54
2009-11-25,18.40,18.50,18.27,18.32,2447000,17.12
2009-11-24,18.32,18.45,18.13,18.38,4175200,17.18
2009-11-23,18.24,18.37,18.07,18.26,3100000,17.07
2009-11-20,17.78,18.04,17.51,18.00,4342500,16.83
2009-11-19,18.17,18.29,17.75,18.01,3980700,16.83
2009-11-18,17.94,18.08,17.73,17.85,2509100,16.69
2009-11-17,17.86,18.15,17.76,18.02,2379200,16.84
2009-11-16,17.54,18.13,17.54,17.92,3341300,16.75
2009-11-13,17.43,17.75,17.24,17.45,2622700,16.31
2009-11-12,17.89,18.00,17.39,17.43,3398700,16.29
2009-11-11,18.00,18.28,17.85,18.02,3870900,16.84
2009-11-10,17.76,18.05,17.69,17.82,2756600,16.66
2009-11-09,17.46,17.99,17.41,17.94,6082600,16.77
2009-11-06,16.68,17.30,16.64,17.22,6192000,16.10
2009-11-05,16.33,16.62,15.97,16.59,4550700,15.51
2009-11-04,16.57,16.83,16.10,16.17,4154800,15.11
2009-11-03,16.12,16.38,15.78,16.30,4161100,15.24
2009-11-02,16.48,16.82,15.95,16.41,4673300,15.34
2009-10-30,17.22,17.22,16.22,16.41,5907500,15.34
2009-10-29,16.99,17.57,16.86,17.37,8698700,16.24
2009-10-28,16.65,16.79,16.08,16.23,10568000,15.17
2009-10-27,16.64,17.08,16.47,16.63,5464700,15.54
2009-10-26,17.23,17.41,16.57,16.67,4723300,15.58
2009-10-23,18.04,18.10,17.10,17.18,4456500,16.06
2009-10-22,17.81,18.16,17.52,18.01,6897800,16.83
2009-10-21,17.64,18.20,17.58,17.61,4644000,16.46
2009-10-20,18.03,18.06,17.66,17.69,3180500,16.54
2009-10-19,18.06,18.31,17.90,18.01,3757400,16.83
2009-10-16,17.93,18.16,17.63,17.88,4678700,16.71
2009-10-15,18.27,18.65,18.03,18.41,4618200,17.21
2009-10-14,17.97,18.64,17.76,18.55,7387300,17.34
2009-10-13,17.86,17.92,17.29,17.66,3673600,16.51
2009-10-12,17.97,18.15,17.62,17.96,3309900,16.79
2009-10-09,17.81,18.04,17.66,17.81,3683500,16.65
2009-10-08,17.55,17.88,17.49,17.87,5274900,16.70
2009-10-07,17.60,17.83,17.22,17.50,5690600,16.36
2009-10-06,17.55,17.79,17.17,17.60,4559600,16.45
2009-10-05,17.03,17.32,16.83,17.32,6194000,16.19
2009-10-02,16.54,17.19,16.21,16.78,6491300,15.69
2009-10-01,17.37,17.85,16.75,16.79,6424000,15.69
2009-09-30,17.45,17.68,16.97,17.46,5651300,16.32
2009-09-29,17.78,18.00,17.26,17.35,4264900,16.22
2009-09-28,16.88,17.76,16.81,17.76,4904900,16.60
2009-09-25,16.50,17.10,16.50,16.86,7879600,15.76
2009-09-24,16.58,17.04,15.98,16.64,8475900,15.55
2009-09-23,17.05,17.06,16.36,16.39,7306100,15.32
2009-09-22,16.94,17.06,16.80,16.98,5542900,15.87
2009-09-21,17.13,17.23,16.66,16.69,6198100,15.60
2009-09-18,17.49,17.50,16.86,16.89,8251100,15.79
2009-09-17,18.05,18.09,17.30,17.41,5868300,16.27
2009-09-16,17.47,18.19,17.14,18.07,8325400,16.89
2009-09-15,17.01,17.50,16.80,17.38,6531200,16.25
2009-09-14,16.72,16.98,16.54,16.94,5683200,15.83
2009-09-11,17.01,17.23,16.78,16.98,4177900,15.87
2009-09-10,16.68,17.11,16.57,16.94,7581300,15.74
2009-09-09,17.00,17.38,16.69,17.04,7653000,15.83
2009-09-08,17.13,17.23,16.71,16.99,5786500,15.79
2009-09-04,16.76,16.85,16.09,16.85,5535300,15.66
2009-09-03,16.61,16.87,16.20,16.76,7614100,15.57
2009-09-02,15.91,16.62,15.66,16.47,6140300,15.30
2009-09-01,17.21,17.33,15.96,16.04,9395900,14.90
2009-08-31,16.92,17.47,16.92,17.35,14454200,16.12
2009-08-28,17.03,17.43,16.71,17.22,7410100,16.00
2009-08-27,16.86,16.90,16.54,16.77,5888100,15.58
2009-08-26,16.83,17.05,16.47,16.90,6031700,15.70
2009-08-25,16.54,16.97,16.46,16.87,7045100,15.68
2009-08-24,16.00,16.61,15.88,16.35,9485100,15.19
2009-08-21,15.23,15.80,15.05,15.77,8597200,14.65
2009-08-20,14.97,15.15,14.93,15.00,5881200,13.94
2009-08-19,14.98,15.20,14.53,14.85,6243500,13.80
2009-08-18,14.69,15.34,14.46,15.27,5608300,14.19
2009-08-17,14.70,14.78,14.20,14.60,5716600,13.57
2009-08-14,14.77,15.06,14.66,15.04,7106000,13.98
2009-08-13,14.63,14.89,14.41,14.85,5249700,13.80
2009-08-12,13.84,14.74,13.83,14.38,6337000,13.36
2009-08-11,14.58,14.66,13.83,13.92,5987200,12.93
2009-08-10,14.89,14.91,14.28,14.67,4115800,13.63
2009-08-07,14.33,15.05,14.22,14.98,6562100,13.92
2009-08-06,14.81,14.88,13.96,14.08,5155100,13.08
2009-08-05,14.87,14.95,14.35,14.58,5829500,13.55
2009-08-04,14.24,14.99,14.20,14.78,6350000,13.73
2009-08-03,14.43,14.60,14.12,14.34,5082400,13.33
2009-07-31,13.73,14.25,13.62,14.08,6083700,13.08
2009-07-30,14.07,14.20,13.39,13.66,7942600,12.69
2009-07-29,13.99,14.29,13.43,13.75,11879000,12.78
2009-07-28,13.64,13.69,13.26,13.59,5277400,12.63
2009-07-27,13.61,14.14,13.52,13.82,4750800,12.84
2009-07-24,13.51,13.83,13.32,13.61,6734800,12.65
2009-07-23,13.00,13.56,12.71,13.49,10226200,12.54
2009-07-22,12.48,12.96,12.43,12.86,4612900,11.95
2009-07-21,12.88,13.16,12.47,12.59,7625000,11.70
2009-07-20,12.57,12.89,12.50,12.81,4919700,11.90
2009-07-17,12.48,12.76,12.24,12.44,5516200,11.56
2009-07-16,12.25,12.69,12.13,12.49,7534900,11.61
2009-07-15,11.91,12.55,11.88,12.37,7388200,11.49
2009-07-14,11.96,11.98,11.35,11.83,7194400,10.99
2009-07-13,11.09,11.95,11.09,11.93,6227100,11.09
2009-07-10,11.20,11.34,10.88,11.05,5619500,10.27
2009-07-09,11.31,11.52,11.21,11.29,5531700,10.49
2009-07-08,11.49,11.55,10.83,11.13,10835500,10.34
2009-07-07,11.68,11.68,10.99,11.01,7554400,10.23
2009-07-06,11.08,11.45,11.02,11.45,7544800,10.64
2009-07-02,12.00,12.18,11.25,11.25,10095100,10.45
2009-07-01,11.55,12.77,11.47,12.26,12373100,11.39
2009-06-30,11.59,11.59,11.14,11.46,4739300,10.65
2009-06-29,10.87,11.75,10.76,11.49,6317500,10.68
2009-06-26,11.14,11.29,10.83,10.85,7027100,10.08
2009-06-25,10.77,11.17,10.55,11.17,5336600,10.38
2009-06-24,11.05,11.18,10.70,10.80,5130300,10.04
2009-06-23,10.68,10.99,10.52,10.81,6369300,10.04
2009-06-22,11.00,11.31,10.47,10.51,7515500,9.77
2009-06-19,11.07,11.40,10.95,11.23,6336600,10.44
2009-06-18,10.45,11.12,10.45,10.91,4719700,10.14
2009-06-17,10.44,10.80,10.09,10.51,5039000,9.77
2009-06-16,11.16,11.19,10.37,10.59,6935400,9.84
2009-06-15,11.65,11.65,11.01,11.04,4573700,10.26
2009-06-12,11.66,11.82,11.49,11.63,3058800,10.81
2009-06-11,12.20,12.45,11.78,11.81,7254400,10.97
2009-06-10,11.70,12.24,11.65,12.14,9426400,11.19
2009-06-09,11.08,11.41,10.73,11.24,7269900,10.36
2009-06-08,10.53,11.04,10.35,10.93,5913600,10.07
2009-06-05,10.85,11.00,10.47,10.67,7172300,9.83
2009-06-04,9.92,10.42,9.77,10.42,5354600,9.60
2009-06-03,10.08,10.20,9.72,9.79,7808900,9.02
2009-06-02,10.29,10.64,10.17,10.31,5030400,9.50
2009-06-01,10.28,10.59,10.20,10.38,8025600,9.57
2009-05-29,10.09,10.12,9.75,10.12,5121300,9.33
2009-05-28,10.00,10.10,9.66,10.03,6629000,9.24
2009-05-27,10.01,10.17,9.75,9.79,7643200,9.02
2009-05-26,9.73,10.20,9.64,10.05,7360700,9.26
2009-05-22,9.93,10.20,9.64,9.86,3825600,9.09
2009-05-21,9.48,9.95,9.33,9.87,6359400,9.10
2009-05-20,10.09,10.56,9.68,9.74,7390000,8.98
2009-05-19,10.02,10.49,9.65,10.01,7447400,9.22
2009-05-18,9.16,10.21,9.16,10.15,7146900,9.35
2009-05-15,9.41,9.62,8.83,8.93,6803000,8.23
2009-05-14,8.31,9.57,8.31,9.39,10490700,8.65
2009-05-13,8.91,9.11,8.50,8.55,8651800,7.88
2009-05-12,10.22,10.30,8.92,9.51,11326100,8.76
2009-05-11,10.44,10.81,9.98,10.01,9950600,9.22
2009-05-08,10.16,11.35,10.16,11.12,12514100,10.25
2009-05-07,10.70,10.99,9.95,10.05,9874100,9.26
2009-05-06,10.55,10.70,10.06,10.53,10810800,9.70
2009-05-05,10.63,10.91,10.07,10.15,8605500,9.35
2009-05-04,10.02,10.91,9.85,10.84,10876800,9.99
2009-05-01,9.50,10.22,9.47,9.84,9002300,9.07
2009-04-30,9.23,9.74,9.18,9.51,10464100,8.76
2009-04-29,8.21,9.28,8.21,9.18,10773400,8.46
2009-04-28,7.71,8.46,7.71,8.28,13625800,7.63
2009-04-27,8.81,9.02,8.31,8.48,10484200,7.81
2009-04-24,8.26,9.16,8.02,8.96,10806600,8.26
2009-04-23,7.75,8.33,7.62,8.27,11507600,7.62
2009-04-22,7.42,8.04,7.42,7.56,8442000,6.97
2009-04-21,7.17,7.87,6.45,7.83,10244300,7.22
2009-04-20,7.72,7.96,7.08,7.10,10074100,6.54
2009-04-17,7.91,8.27,7.87,8.16,8900300,7.52
2009-04-16,7.60,8.15,7.47,8.03,7686700,7.40
2009-04-15,7.25,7.65,6.90,7.60,8793800,7.00
2009-04-14,8.02,8.17,7.24,7.27,9731500,6.70
2009-04-13,7.45,8.25,6.98,8.13,9834200,7.49
2009-04-09,6.52,7.69,6.50,7.68,15003800,7.08
2009-04-08,6.17,6.38,6.03,6.26,7552300,5.77
2009-04-07,5.74,6.14,5.69,5.69,6892600,5.24
2009-04-06,6.02,6.02,5.70,5.90,5023100,5.44
2009-04-03,5.99,6.13,5.72,6.13,8008300,5.65
2009-04-02,6.18,6.50,5.98,6.00,9227900,5.53
2009-04-01,5.21,5.84,5.20,5.77,5830300,5.32
2009-03-31,5.43,5.55,5.12,5.46,7898600,5.03
2009-03-30,5.86,5.96,5.26,5.30,12546900,4.88
2009-03-27,5.76,6.44,5.56,6.19,9586000,5.70
2009-03-26,5.83,6.04,5.52,6.01,14041100,5.54
2009-03-25,5.44,6.00,5.13,5.79,14510100,5.34
2009-03-24,5.28,5.55,4.95,5.38,16770700,4.96
2009-03-23,4.53,5.69,4.52,5.69,18175500,5.24
2009-03-20,5.15,5.15,4.04,4.24,17419100,3.91
2009-03-19,5.30,5.75,4.87,4.97,18880800,4.58
2009-03-18,4.05,5.17,3.80,5.12,19101000,4.72
2009-03-17,3.78,4.12,3.65,4.12,8138400,3.80
2009-03-16,4.08,4.20,3.61,3.64,9279100,3.35
2009-03-13,3.95,4.15,3.65,3.99,9185000,3.68
2009-03-12,3.46,3.94,3.31,3.93,8203400,3.62
2009-03-11,3.68,3.74,3.29,3.48,9297000,3.21
2009-03-10,3.42,3.68,3.26,3.68,9576300,3.30
2009-03-09,2.95,3.42,2.84,3.21,7431100,2.88
2009-03-06,3.02,3.09,2.74,2.95,7825800,2.64
2009-03-05,3.32,3.32,2.83,2.89,9424900,2.59
2009-03-04,3.21,3.45,3.15,3.28,7386000,2.94
2009-03-03,3.27,3.39,3.05,3.12,12942700,2.80
2009-03-02,3.15,3.28,3.05,3.24,8703500,2.90
2009-02-27,3.19,3.58,3.06,3.31,17309000,2.97
2009-02-26,3.77,3.77,3.30,3.36,9854600,3.01
2009-02-25,3.76,3.81,3.28,3.54,11304600,3.17
2009-02-24,3.16,3.83,3.14,3.80,11522400,3.41
2009-02-23,3.52,3.66,3.09,3.18,10693100,2.85
2009-02-20,3.24,3.61,3.05,3.38,13799900,3.03
2009-02-19,3.85,3.90,3.50,3.51,10336800,3.15
2009-02-18,3.72,3.89,3.34,3.73,11718400,3.34
2009-02-17,3.99,4.08,3.51,3.51,11164300,3.15
2009-02-13,4.08,4.43,4.01,4.31,10945300,3.86
2009-02-12,4.47,4.68,3.93,4.35,28544500,3.90
2009-02-11,3.40,4.85,3.30,4.68,34253300,4.20
2009-02-10,3.39,3.42,2.85,2.90,13351700,2.60
2009-02-09,3.10,3.50,3.09,3.39,9594200,3.04
2009-02-06,2.96,3.06,2.84,3.03,7906700,2.72
2009-02-05,2.63,3.02,2.60,2.90,9417300,2.60
2009-02-04,2.80,2.83,2.65,2.67,6672700,2.39
2009-02-03,2.81,2.85,2.65,2.68,6457600,2.40
2009-02-02,2.79,2.90,2.56,2.75,9829000,2.47
2009-01-30,3.26,3.29,2.87,2.90,10501700,2.60
2009-01-29,3.64,3.64,3.16,3.18,7926000,2.85
2009-01-28,3.50,3.82,3.35,3.78,9838800,3.39
2009-01-27,3.38,3.42,3.20,3.29,4583600,2.95
2009-01-26,3.28,3.50,3.05,3.29,5711300,2.95
2009-01-23,2.96,3.47,2.85,3.32,9678000,2.98
2009-01-22,3.17,3.17,2.93,3.01,5874900,2.70
2009-01-21,3.29,3.29,2.86,3.24,9650800,2.90
2009-01-20,3.18,3.36,2.85,2.88,10767400,2.58
2009-01-16,3.30,3.40,2.97,3.18,7497100,2.85
2009-01-15,3.45,3.51,2.97,3.12,10775300,2.80
2009-01-14,3.60,3.66,3.39,3.45,6593000,3.09
2009-01-13,3.76,3.98,3.50,3.76,9271500,3.37
2009-01-12,4.30,4.39,3.60,3.71,8157900,3.33
2009-01-09,4.44,4.69,4.21,4.30,6942100,3.86
2009-01-08,4.16,4.33,4.05,4.33,6638800,3.88
2009-01-07,4.08,4.60,3.95,4.20,11499100,3.77
2009-01-06,3.75,4.14,3.65,4.08,10631300,3.66
2009-01-05,3.81,4.06,3.70,3.75,9816200,3.36
2009-01-02,3.78,4.03,3.59,3.89,10196100,3.49
2008-12-31,3.57,3.74,3.48,3.70,5256100,3.32
2008-12-30,3.41,3.59,3.36,3.55,4413200,3.18
2008-12-29,3.39,3.46,3.22,3.39,3221600,3.04
2008-12-26,3.29,3.39,3.27,3.33,1974400,2.99
2008-12-24,3.39,3.44,3.09,3.34,2422100,2.99
2008-12-23,3.57,3.60,3.36,3.38,4640900,3.03
2008-12-22,3.78,3.93,3.38,3.46,8497900,3.10
2008-12-19,4.17,4.20,3.71,4.00,12834800,3.59
2008-12-18,3.58,4.54,3.47,3.93,24623600,3.52
2008-12-17,3.60,3.80,3.32,3.56,15395000,3.19
2008-12-16,3.08,3.80,2.97,3.68,17469900,3.30
2008-12-15,2.82,2.95,2.76,2.90,9130500,2.60
