2009,2,27,GT,Sell,100
2009,3,20,GT,Buy,100
2009,3,27,GT,Sell,100
2008,6,18,HBAN,Buy,100
2008,6,25,HBAN,Sell,100
2008,6,23,HBAN,Buy,100
2008,6,30,HBAN,Sell,100
2008,6,30,HBAN,Buy,100
2008,7,8,HBAN,Sell,100
2008,7,2,HBAN,Buy,100
2008,7,10,HBAN,Sell,100
2008,7,9,HBAN,Buy,100
2008,7,16,HBAN,Sell,100
2009,1,13,HBAN,Buy,100
2009,1,21,HBAN,Sell,100
2008,11,20,HIG,Buy,100
2008,11,28,HIG,Sell,100
2009,3,2,HIG,Buy,100
2009,3,9,HIG,Sell,100
2008,11,19,HST,Buy,100
2008,11,26,HST,Sell,100
2008,12,1,HST,Buy,100
2008,12,8,HST,Sell,100
2009,1,20,HST,Buy,100
2009,1,27,HST,Sell,100
2009,1,22,HST,Buy,100
2009,1,29,HST,Sell,100
2009,1,29,HST,Buy,100
2009,2,5,HST,Sell,100
2009,4,20,HST,Buy,100
2009,4,27,HST,Sell,100
2009,2,23,IP,Buy,100
2009,3,2,IP,Sell,100
2009,2,26,IP,Buy,100
2009,3,5,IP,Sell,100
2008,10,9,IPG,Buy,100
2008,10,16,IPG,Sell,100
2008,10,14,IPG,Buy,100
2008,10,21,IPG,Sell,100
2009,5,5,IPG,Buy,100
2009,5,12,IPG,Sell,100
2009,5,7,IPG,Buy,100
2009,5,14,IPG,Sell,100
2009,6,15,IPG,Buy,100
2009,6,22,IPG,Sell,100
2009,7,28,IPG,Buy,100
2009,8,4,IPG,Sell,100
2009,8,10,IPG,Buy,100
2009,8,17,IPG,Sell,100
2009,8,12,IPG,Buy,100
2009,8,19,IPG,Sell,100
2009,8,17,IPG,Buy,100
2009,8,24,IPG,Sell,100
2009,9,3,IPG,Buy,100
2009,9,11,IPG,Sell,100
2009,10,28,IPG,Buy,100
2009,11,4,IPG,Sell,100
2009,11,2,IPG,Buy,100
2009,11,9,IPG,Sell,100
2008,11,19,JBL,Buy,100
2008,11,26,JBL,Sell,100
