2008,4,1,1000000
2008,4,2,1000093
2008,4,3,1000134
2008,4,4,1000125
2008,4,7,1000137
2008,4,8,1000167
2008,4,9,1001290
2008,4,10,999532
2008,4,11,1001522
2008,4,14,1002440
2008,4,15,1000891
2008,4,16,999116
2008,4,17,999373
2008,4,18,996055
2008,4,21,995992
2008,4,22,996022
2008,4,23,995839
2008,4,24,996151
2008,4,25,995621
2008,4,28,994116
2008,4,29,993291
2008,4,30,992049
2008,5,1,989822
2008,5,2,989400
2008,5,5,989197
2008,5,6,987445
2008,5,7,992524
2008,5,8,993961
2008,5,9,999840
2008,5,12,1003648
2008,5,13,1003035
2008,5,14,1002842
2008,5,15,1002971
2008,5,16,1002989
2008,5,19,1003471
2008,5,20,1004619
2008,5,21,1006000
2008,5,22,1004480
2008,5,23,1006151
2008,5,27,1007139
2008,5,28,1010553
2008,5,29,1009223
2008,5,30,1008685
2008,6,2,1008181
2008,6,3,1007411
2008,6,4,1007413
2008,6,5,1007988
2008,6,6,1012247
2008,6,9,1014603
2008,6,10,1011986
2008,6,11,1013846
2008,6,12,1012595
2008,6,13,1012164
2008,6,16,1013353
2008,6,17,1017162
2008,6,18,1018552
2008,6,19,1016105
2008,6,20,1016913
2008,6,23,1020661
2008,6,24,1019968
2008,6,25,1020609
2008,6,26,1021998
2008,6,27,1022626
2008,6,30,1024120
2008,7,1,1023165
2008,7,2,1021914
2008,7,3,1021446
2008,7,7,1022709
2008,7,8,1019718
2008,7,9,1022658
2008,7,10,1026147
2008,7,11,1028752
2008,7,14,1031219
2008,7,15,1033165
2008,7,16,1028446
2008,7,17,1024770
2008,7,18,1024433
2008,7,21,1023107
2008,7,22,1018654
2008,7,23,1013614
2008,7,24,1016723
2008,7,25,1017669
2008,7,28,1023486
2008,7,29,1020000
2008,7,30,1020707
2008,7,31,1020114
2008,8,1,1018485
2008,8,4,1017297
2008,8,5,1008405
2008,8,6,1010831
2008,8,7,1019513
2008,8,8,1017522
2008,8,11,1018515
2008,8,12,1022059
2008,8,13,1024401
2008,8,14,1023253
2008,8,15,1022950
2008,8,18,1023964
2008,8,19,1026883
2008,8,20,1026053
2008,8,21,1028354
2008,8,22,1026785
2008,8,25,1028393
2008,8,26,1027572
2008,8,27,1027604
2008,8,28,1025316
2008,8,29,1024859
2008,9,2,1022138
2008,9,3,1020165
2008,9,4,1022335
2008,9,5,1019093
2008,9,8,1016897
2008,9,9,1024308
2008,9,10,1026519
2008,9,11,1026861
2008,9,12,1036692
2008,9,15,1048690
2008,9,16,1050784
2008,9,17,1054553
2008,9,18,1052533
2008,9,19,1050505
2008,9,22,1050785
2008,9,23,1050047
2008,9,24,1052805
2008,9,25,1052649
2008,9,26,1051806
2008,9,29,1055478
2008,9,30,1052390
2008,10,1,1050756
2008,10,2,1050882
2008,10,3,1051203
2008,10,6,1051820
2008,10,7,1048968
2008,10,8,1050349
2008,10,9,1052690
2008,10,10,1052336
2008,10,13,1051862
2008,10,14,1050874
2008,10,15,1052662
2008,10,16,1053798
2008,10,17,1053762
2008,10,20,1054608
2008,10,21,1054843
2008,10,22,1054366
2008,10,23,1054748
2008,10,24,1055731
2008,10,27,1056051
